min_wp,max_wp,dist_m
1,2,76.0
2,10,330.4
10,35,885.5
35,54,309.1
54,59,48.5
59,123,2133.5
123,145,952.3
145,158,411.2
158,185,856.6
185,189,103.7
189,210,502.9
210,249,1957.9
249,265,822.7
265,485,13321.4
485,497,658.4
497,1048,62328.5
1048,1164,12444.4
1164,1864,104541.8
1864,3346,177663.0
3346,4430,132099.7
4430,4435,101.2
4435,4445,673.5
4445,4463,1796.6
4463,4491,4647.7
4491,4493,93.4
4493,4574,13034.9
4574,4630,2550.1
4630,5079,26295.6
5079,5193,13117.6
5193,5196,330.4
5196,5213,562.0
5213,5232,1125.0
5232,5240,424.6
5240,5244,273.6
5244,5245,44.9
5245,5248,44.2
5248,5248,0.0
