lat,lng,elevation,wp,elevation_diff_m,dist_per_wp_m,distance_km,distance_m,elevation_diff_cum,slope,wh_per_km,wh_used,total_wh_used
78.50598,17.397965,498.3,1,0,0,0,0,0,NaN,NaN,0,0
78.50535,17.39829,498.6,2,0.3,76,0.1,76,0.3,0.003947368,119.0197368,9.0455,9.0455
78.505223,17.398169,498.7,3,0.1,41.3,0.1,117.3,0.4,0.00341006,119.0170503,4.915404177,13.96090418
78.504904,17.397851,498.4,4,-0.3,41.3,0.2,158.6,0.1,0.000630517,119.0031526,4.914830202,18.87573438
78.504765,17.39771,497.8,5,-0.6,41.3,0.2,199.9,-0.5,-0.002501251,118.9874937,4.914183492,23.78991787
78.504495,17.397438,496.8,6,-1,41.3,0.2,241.2,-1.5,-0.006218905,118.9689055,4.913415796,28.70333367
78.50393,17.396841,494.7,7,-2.1,41.3,0.3,282.5,-3.6,-0.012743363,118.9362832,4.912068496,33.61540216
78.503683,17.396595,493.8,8,-0.9,41.3,0.3,323.8,-4.5,-0.013897468,118.9305127,4.911830173,38.52723234
78.503444,17.396347,493.1,9,-0.7,41.3,0.4,365.1,-5.2,-0.014242673,118.9287866,4.911758888,43.43899122
78.503199,17.396144,493,10,-0.1,41.3,0.4,406.4,-5.3,-0.013041339,118.9347933,4.912006964,48.35099819
78.503685,17.395705,493,11,0,35.42,0.4,441.82,-5.3,-0.011995835,118.9400208,4.212855538,52.56385372
78.504206,17.395234,492.6,12,-0.4,35.42,0.5,477.24,-5.7,-0.011943676,118.9402816,4.212864775,56.7767185
78.504469,17.394996,492.3,13,-0.3,35.42,0.5,512.66,-6,-0.011703663,118.9414817,4.212907281,60.98962578
78.504815,17.394742,491.9,14,-0.4,35.42,0.5,548.08,-6.4,-0.011677127,118.9416144,4.212911981,65.20253776
78.504994,17.394643,491.7,15,-0.2,35.42,0.6,583.5,-6.6,-0.011311054,118.9434447,4.212976812,69.41551457
78.505109,17.394588,491.6,16,-0.1,35.42,0.6,618.92,-6.7,-0.010825309,118.9458735,4.213062838,73.62857741
78.505274,17.39452,491.5,17,-0.1,35.42,0.7,654.34,-6.8,-0.010392151,118.9480392,4.21313955,77.84171696
78.505473,17.394472,491.3,18,-0.2,35.42,0.7,689.76,-7,-0.010148457,118.9492577,4.213182708,82.05489967
78.505853,17.394431,491,19,-0.3,35.42,0.7,725.18,-7.3,-0.010066466,118.9496677,4.213197229,86.2680969
78.506262,17.394398,491.1,20,0.1,35.42,0.8,760.6,-7.2,-0.009466211,118.9526689,4.213303534,90.48140043
78.506524,17.39438,491.2,21,0.1,35.42,0.8,796.02,-7.1,-0.008919374,118.9554031,4.213400379,94.69480081
78.506729,17.394364,491.3,22,0.1,35.42,0.8,831.44,-7,-0.008419128,118.9579044,4.213488972,98.90828978
78.507094,17.394335,491.4,23,0.1,35.42,0.9,866.86,-6.9,-0.007959763,118.9602012,4.213570326,103.1218601
78.507293,17.394304,491.5,24,0.1,35.42,0.9,902.28,-6.8,-0.007536463,118.9623177,4.213645292,107.3355054
78.507521,17.394286,491.6,25,0.1,35.42,0.9,937.7,-6.7,-0.007145142,118.9642743,4.213714595,111.54922
78.507684,17.394277,491.7,26,0.1,35.42,1,973.12,-6.6,-0.006782308,118.9660885,4.213778853,115.7629989
78.508242,17.394236,492.2,27,0.5,35.42,1,1008.54,-6.1,-0.006048347,118.9697583,4.213908838,119.9769077
78.508377,17.394218,492.3,28,0.1,35.42,1,1043.96,-6,-0.005747347,118.9712633,4.213962145,124.1908698
78.508513,17.394212,492.5,29,0.2,35.42,1.1,1079.38,-5.8,-0.005373455,118.9731327,4.214028361,128.4048982
78.508796,17.394172,492.8,30,0.3,35.42,1.1,1114.8,-5.5,-0.00493362,118.9753319,4.214106256,132.6190045
78.509287,17.394135,493.3,31,0.5,35.42,1.2,1150.22,-5,-0.004346994,118.978265,4.214210147,136.8332146
78.509598,17.394103,493.6,32,0.3,35.42,1.2,1185.64,-4.7,-0.003964104,118.9801795,4.214277957,141.0474926
78.509783,17.394078,493.7,33,0.1,35.42,1.2,1221.06,-4.6,-0.003767219,118.9811639,4.214312826,145.2618054
78.510809,17.393959,493.6,34,-0.1,35.42,1.3,1256.48,-4.7,-0.003740609,118.981297,4.214317538,149.4761229
78.510882,17.393952,493.6,35,0,35.42,1.3,1291.9,-4.7,-0.003638052,118.9818097,4.214335701,153.6904586
78.510877,17.393898,493.5,36,-0.1,16.26842105,1.3,1308.168421,-4.8,-0.003669252,118.9816537,1.935643641,155.6261023
78.510837,17.393768,493.5,37,0,16.26842105,1.3,1324.436842,-4.8,-0.003624182,118.9818791,1.935647307,157.5617496
78.510831,17.393176,493,38,-0.5,16.26842105,1.3,1340.705263,-5.3,-0.003953143,118.9802343,1.935620548,159.4973701
78.510843,17.392869,492.8,39,-0.2,16.26842105,1.4,1356.973684,-5.5,-0.004053137,118.9797343,1.935612415,161.4329825
78.510832,17.392684,492.6,40,-0.2,16.26842105,1.4,1373.242105,-5.7,-0.004150761,118.9792462,1.935604474,163.368587
78.510825,17.392576,492.6,41,0,16.26842105,1.4,1389.510526,-5.7,-0.004102164,118.9794892,1.935608427,165.3041954
78.510831,17.392375,492.4,42,-0.2,16.26842105,1.4,1405.778947,-5.9,-0.004196961,118.9790152,1.935600716,167.2397961
78.510833,17.392014,492.2,43,-0.2,16.26842105,1.4,1422.047368,-6.1,-0.00428959,118.9785521,1.935593181,169.1753893
78.510841,17.391864,492.2,44,0,16.26842105,1.4,1438.315789,-6.1,-0.004241071,118.9787946,1.935597128,171.1109865
78.510852,17.391755,492.1,45,-0.1,16.26842105,1.5,1454.584211,-6.2,-0.004262386,118.9786881,1.935595394,173.0465818
78.51087,17.391634,492.1,46,0,16.26842105,1.5,1470.852632,-6.2,-0.004215242,118.9789238,1.935599229,174.9821811
78.51091,17.391563,492,47,-0.1,16.26842105,1.5,1487.121053,-6.3,-0.004236373,118.9788181,1.93559751,176.9177786
78.510944,17.391489,491.8,48,-0.2,16.26842105,1.5,1503.389474,-6.5,-0.004323564,118.9783822,1.935590417,178.853369
78.510962,17.391438,491.7,49,-0.1,16.26842105,1.5,1519.657895,-6.6,-0.004343083,118.9782846,1.93558883,180.7889578
78.510989,17.391333,491.5,50,-0.2,16.26842105,1.5,1535.926316,-6.8,-0.004427296,118.9778635,1.93558198,182.7245398
78.510996,17.391286,491.4,51,-0.1,16.26842105,1.6,1552.194737,-6.9,-0.004445319,118.9777734,1.935580514,184.6601203
78.511,17.391264,491.2,52,-0.2,16.26842105,1.6,1568.463158,-7.1,-0.004526724,118.9773664,1.935573892,186.5956942
78.511005,17.391231,491.1,53,-0.1,16.26842105,1.6,1584.731579,-7.2,-0.004543356,118.9772832,1.935572539,188.5312668
78.51101,17.391204,490.9,54,-0.2,16.26842105,1.6,1601,-7.4,-0.004622111,118.9768894,1.935566133,190.4668329
78.510968,17.391196,490.8,55,-0.1,9.7,1.6,1610.7,-7.5,-0.004656361,118.9767182,1.154074167,191.6209071
78.510938,17.391193,490.6,56,-0.2,9.7,1.6,1620.4,-7.7,-0.004751913,118.9762404,1.154069532,192.7749766
78.510859,17.391182,490.5,57,-0.1,9.7,1.6,1630.1,-7.8,-0.004784983,118.9760751,1.154067928,193.9290445
78.510813,17.391175,490.3,58,-0.2,9.7,1.6,1639.8,-8,-0.004878644,118.9756068,1.154063386,195.0831079
78.510559,17.391135,490,59,-0.3,9.7,1.6,1649.5,-8.3,-0.005031828,118.9748409,1.154055956,196.2371639
78.510423,17.391109,489.9,60,-0.1,33.3359375,1.7,1682.835937,-8.4,-0.004991574,118.9750421,3.966144569,200.2033084
78.510178,17.391043,489.6,61,-0.3,33.3359375,1.7,1716.171875,-8.7,-0.005069422,118.9746529,3.966131593,204.16944
78.510093,17.391034,489.4,62,-0.2,33.3359375,1.7,1749.507812,-8.9,-0.005087145,118.9745643,3.966128639,208.1355687
78.509865,17.391043,489.1,63,-0.3,33.3359375,1.8,1782.84375,-9.2,-0.005160295,118.9741985,3.966116446,212.1016851
78.509741,17.391044,489,64,-0.1,33.3359375,1.8,1816.179687,-9.3,-0.005120639,118.9743968,3.966123056,216.0678082
78.509488,17.391007,489,65,0,33.3359375,1.8,1849.515625,-9.3,-0.005028344,118.9748583,3.96613844,220.0339466
78.509015,17.390935,489,66,0,33.3359375,1.9,1882.851562,-9.3,-0.004939317,118.9753034,3.966153279,224.0000999
78.508386,17.390835,489,67,0,33.3359375,1.9,1916.1875,-9.3,-0.004853387,118.9757331,3.966167601,227.9662675
78.507801,17.390736,489,68,0,33.3359375,1.9,1949.523437,-9.3,-0.004770397,118.976148,3.966181434,231.9324489
78.507653,17.390712,489,69,0,33.3359375,2,1982.859375,-9.3,-0.004690196,118.976549,3.966194802,235.8986437
78.507454,17.39068,489,70,0,33.3359375,2,2016.195312,-9.3,-0.004612648,118.9769368,3.966207728,239.8648514
78.507016,17.390604,489,71,0,33.3359375,2,2049.53125,-9.3,-0.004537623,118.9773119,3.966220233,243.8310717
78.506472,17.390503,489,72,0,33.3359375,2.1,2082.867187,-9.3,-0.004464999,118.977675,3.966232338,247.797304
78.506328,17.390474,489,73,0,33.3359375,2.1,2116.203125,-9.3,-0.004394663,118.9780267,3.966244061,251.7635481
78.506181,17.390439,489,74,0,33.3359375,2.1,2149.539062,-9.3,-0.004326509,118.9783675,3.966255421,255.7298035
78.506096,17.390399,489,75,0,33.3359375,2.2,2182.875,-9.3,-0.004260436,118.9786978,3.966266434,259.6960699
78.505983,17.390337,488.9,76,-0.1,33.3359375,2.2,2216.210937,-9.4,-0.004241474,118.9787926,3.966269595,263.6623395
78.505654,17.390136,488.7,77,-0.2,33.3359375,2.2,2249.546875,-9.6,-0.004267526,118.9786624,3.966265253,267.6286048
78.505378,17.389983,488.6,78,-0.1,33.3359375,2.3,2282.882812,-9.7,-0.004249014,118.9787549,3.966268338,271.5948731
78.505152,17.389863,488.5,79,-0.1,33.3359375,2.3,2316.21875,-9.8,-0.004231034,118.9788448,3.966271335,275.5611445
78.505067,17.389798,488.4,80,-0.1,33.3359375,2.3,2349.554687,-9.9,-0.004213564,118.9789322,3.966274247,279.5274187
78.504924,17.389674,488.3,81,-0.1,33.3359375,2.4,2382.890625,-10,-0.004196584,118.9790171,3.966277077,283.4936958
78.504495,17.389366,487.5,82,-0.8,33.3359375,2.4,2416.226562,-10.8,-0.00446978,118.9776511,3.966231541,287.4599273
78.504359,17.389271,487.2,83,-0.3,33.3359375,2.4,2449.5625,-11.1,-0.004531421,118.9773429,3.966221267,291.4261486
78.504325,17.389244,487,84,-0.2,33.3359375,2.5,2482.898437,-11.3,-0.004551133,118.9772443,3.966217981,295.3923666
78.504227,17.389165,486.8,85,-0.2,33.3359375,2.5,2516.234375,-11.5,-0.004570321,118.9771484,3.966214783,299.3585814
78.504136,17.389071,486.6,86,-0.2,33.3359375,2.5,2549.570312,-11.7,-0.004589009,118.977055,3.966211668,303.324793
78.504113,17.389043,486.4,87,-0.2,33.3359375,2.6,2582.90625,-11.9,-0.004607213,118.9769639,3.966208634,307.2910017
78.504042,17.388957,486.2,88,-0.2,33.3359375,2.6,2616.242187,-12.1,-0.004624954,118.9768752,3.966205677,311.2572073
78.503742,17.388586,485.7,89,-0.5,33.3359375,2.6,2649.578125,-12.6,-0.004755474,118.9762226,3.966183922,315.2233913
78.503553,17.388438,485.8,90,0.1,33.3359375,2.7,2682.914062,-12.5,-0.004659113,118.9767044,3.966199983,319.1895912
78.503456,17.388314,485.8,91,0,33.3359375,2.7,2716.25,-12.5,-0.004601933,118.9769903,3.966209514,323.1558007
78.503223,17.388121,486.1,92,0.3,33.3359375,2.7,2749.585937,-12.2,-0.004437032,118.9778148,3.966236999,327.1220377
78.503199,17.388102,486.2,93,0.1,33.3359375,2.8,2782.921875,-12.1,-0.004347948,118.9782603,3.966251848,331.0882896
78.503105,17.388039,486.5,94,0.3,33.3359375,2.8,2816.257812,-11.8,-0.004189957,118.9790502,3.966278182,335.0545678
78.503074,17.388018,486.7,95,0.2,33.3359375,2.8,2849.59375,-11.6,-0.004070756,118.9796462,3.96629805,339.0208658
78.502972,17.387937,487,96,0.3,33.3359375,2.9,2882.929687,-11.3,-0.003919624,118.9804019,3.966323241,342.9871891
78.502431,17.387627,488.4,97,1.4,33.3359375,2.9,2916.265625,-9.9,-0.003394752,118.9830262,3.966410726,346.9535998
78.50215,17.387459,488.9,98,0.5,33.3359375,2.9,2949.601562,-9.4,-0.003186871,118.9840656,3.966445376,350.9200452
78.501699,17.387188,488.4,99,-0.5,33.3359375,3,2982.9375,-9.9,-0.003318876,118.9834056,3.966423373,354.8864685
78.501269,17.38691,487.4,100,-1,33.3359375,3,3016.273437,-10.9,-0.003613731,118.9819313,3.966374227,358.8528428
78.501162,17.386844,487.2,101,-0.2,33.3359375,3,3049.609375,-11.1,-0.00363981,118.9818009,3.96636988,362.8192126
78.500932,17.386696,486.8,102,-0.4,33.3359375,3.1,3082.945312,-11.5,-0.003730199,118.981349,3.966354814,366.7855675
78.499867,17.386011,485.4,103,-1.4,33.3359375,3.1,3116.28125,-12.9,-0.004139549,118.9793023,3.966286584,370.751854
78.499704,17.385911,485.6,104,0.2,33.3359375,3.1,3149.617187,-12.7,-0.004032236,118.9798388,3.966304471,374.7181585
78.499569,17.385828,485.8,105,0.2,33.3359375,3.2,3182.953125,-12.5,-0.003927171,118.9803641,3.966321983,378.6844805
78.49929,17.385656,486,106,0.2,33.3359375,3.2,3216.289062,-12.3,-0.003824283,118.9808786,3.966339132,382.6508196
78.498403,17.384976,485.9,107,-0.1,33.3359375,3.2,3249.625,-12.4,-0.003815825,118.9809209,3.966340542,386.6171602
78.498262,17.384862,485.7,108,-0.2,33.3359375,3.3,3282.960937,-12.6,-0.003837999,118.98081,3.966336846,390.583497
78.497996,17.384645,485.1,109,-0.6,33.3359375,3.3,3316.296875,-13.2,-0.003980343,118.9800983,3.96631312,394.5498101
78.497565,17.384295,485.1,110,0,33.3359375,3.3,3349.632812,-13.2,-0.00394073,118.9802963,3.966319723,398.5161299
78.497417,17.38417,485.5,111,0.4,33.3359375,3.4,3382.96875,-12.8,-0.003783659,118.9810817,3.966345903,402.4824758
78.497159,17.383953,486,112,0.5,33.3359375,3.4,3416.304687,-12.3,-0.003600381,118.9819981,3.966376452,406.4488522
78.496911,17.383771,486.5,113,0.5,33.3359375,3.4,3449.640625,-11.8,-0.003420646,118.9828968,3.96640641,410.4152586
78.496352,17.383353,488.1,114,1.6,33.3359375,3.5,3482.976562,-10.2,-0.00292853,118.9853574,3.966488436,414.3817471
78.495915,17.383087,487.9,115,-0.2,33.3359375,3.5,3516.3125,-10.4,-0.002957644,118.9852118,3.966483583,418.3482306
78.495765,17.38302,487.7,116,-0.2,33.3359375,3.5,3549.648437,-10.6,-0.002986211,118.9850689,3.966478822,422.3147095
78.495434,17.382874,487.7,117,0,33.3359375,3.6,3582.984375,-10.6,-0.002958428,118.9852079,3.966483453,426.2811929
78.494923,17.38266,488.3,118,0.6,33.3359375,3.6,3616.320312,-10,-0.002765242,118.9861738,3.966515653,430.2477086
78.494519,17.382502,488.9,119,0.6,33.3359375,3.6,3649.65625,-9.4,-0.002575585,118.9871221,3.966547265,434.2142558
78.494451,17.382475,489.1,120,0.2,33.3359375,3.7,3682.992187,-9.2,-0.002497969,118.9875102,3.966560202,438.180816
78.493994,17.382299,490.1,121,1,33.3359375,3.7,3716.328125,-8.2,-0.002206479,118.9889676,3.966608787,442.1474248
78.49363,17.382193,491,122,0.9,33.3359375,3.7,3749.664062,-7.3,-0.001946841,118.9902658,3.966652064,446.1140769
78.493346,17.382132,491.3,123,0.3,33.3359375,3.8,3783,-7,-0.001850383,118.9907481,3.966668141,450.080745
78.49313,17.381746,491.9,124,0.6,43.28636364,3.8,3826.286364,-6.4,-0.00167264,118.9916368,5.15071526,455.2314603
78.492943,17.381512,492.4,125,0.5,43.28636364,3.9,3869.572727,-5.9,-0.001524716,118.9923764,5.150747276,460.3822076
78.492805,17.381389,492.6,126,0.2,43.28636364,3.9,3912.859091,-5.7,-0.001456735,118.9927163,5.150761989,465.5329696
78.492504,17.381171,492.9,127,0.3,43.28636364,4,3956.145455,-5.4,-0.001364965,118.9931752,5.150781851,470.6837514
78.492342,17.381079,492.7,128,-0.2,43.28636364,4,3999.431818,-5.6,-0.001400199,118.992999,5.150774225,475.8345256
78.49214,17.380998,492.4,129,-0.3,43.28636364,4,4042.718182,-5.9,-0.001459414,118.9927029,5.150761409,480.985287
78.491935,17.380926,491.9,130,-0.5,43.28636364,4.1,4086.004545,-6.4,-0.001566322,118.9921684,5.150738271,486.1360253
78.491727,17.380863,491.3,131,-0.6,43.28636364,4.1,4129.290909,-7,-0.001695206,118.991524,5.150710376,491.2867357
78.491631,17.380838,491,132,-0.3,43.28636364,4.2,4172.577273,-7.3,-0.001749518,118.9912524,5.150698621,496.4374343
78.491444,17.380795,490.4,133,-0.6,43.28636364,4.2,4215.863636,-7.9,-0.001873875,118.9906306,5.150671707,501.588106
78.491255,17.380759,489.7,134,-0.7,43.28636364,4.3,4259.15,-8.6,-0.002019182,118.9899041,5.150640257,506.7387463
78.490993,17.380732,489,135,-0.7,43.28636364,4.3,4302.436364,-9.3,-0.002161566,118.9891922,5.150609441,511.8893557
78.49073,17.380716,488.4,136,-0.6,43.28636364,4.3,4345.722727,-9.9,-0.002278102,118.9886095,5.150584219,517.0399399
78.490467,17.380711,487.9,137,-0.5,43.28636364,4.4,4389.009091,-10.4,-0.002369555,118.9881522,5.150564426,522.1905044
78.489847,17.380705,487.3,138,-0.6,43.28636364,4.4,4432.295455,-11,-0.002481784,118.9875911,5.150540136,527.3410445
78.489504,17.380692,487.1,139,-0.2,43.28636364,4.5,4475.581818,-11.2,-0.002502468,118.9874877,5.150535659,532.4915802
78.488871,17.380613,487.2,140,0.1,43.28636364,4.5,4518.868182,-11.1,-0.002456367,118.9877182,5.150545637,537.6421258
78.488259,17.3806,487.6,141,0.4,43.28636364,4.6,4562.154545,-10.7,-0.002345383,118.9882731,5.150569657,542.7926955
78.487672,17.38062,488,142,0.4,43.28636364,4.6,4605.440909,-10.3,-0.002236485,118.9888176,5.150593226,547.9432887
78.48595,17.380643,488.9,143,0.9,43.28636364,4.6,4648.727273,-9.4,-0.002022059,118.9898897,5.150639635,553.0939283
78.485201,17.380755,489.3,144,0.4,43.28636364,4.7,4692.013636,-9,-0.001918153,118.9904092,5.150662123,558.2445904
78.484966,17.380797,489.4,145,0.1,43.28636364,4.7,4735.3,-8.9,-0.001879501,118.9906025,5.150670489,563.3952609
78.484927,17.380684,489.4,146,0,31.63076923,4.8,4766.930769,-8.9,-0.001867029,118.9906649,3.763766261,567.1590272
78.484785,17.380621,489.5,147,0.1,31.63076923,4.8,4798.561538,-8.8,-0.001833883,118.9908306,3.763771503,570.9227987
78.484383,17.380505,489.7,148,0.2,31.63076923,4.8,4830.192308,-8.6,-0.001780467,118.9910977,3.763779951,574.6865786
78.484166,17.380429,489.7,149,0,31.63076923,4.9,4861.823077,-8.6,-0.001768884,118.9911556,3.763781783,578.4503604
78.48382,17.380267,489.9,150,0.2,31.63076923,4.9,4893.453846,-8.4,-0.001716579,118.9914171,3.763790055,582.2141505
78.483388,17.380001,490.3,151,0.4,31.63076923,4.9,4925.084615,-8,-0.001624338,118.9918783,3.763804643,585.9779551
78.482997,17.37965,490.7,152,0.4,31.63076923,5,4956.715385,-7.6,-0.001533273,118.9923336,3.763819045,589.7417742
