x,n
6,2
7,1
9,2
12,1
13,6
14,11
15,8
16,4
17,2
24,30
36,1
37,51
38,424
39,1
40,9
41,7
42,5
43,5
44,4
45,4
46,5
47,5
48,5
49,5
50,5
51,4
52,5
53,5
54,4
55,4
56,5
57,4
58,5
59,5
60,5
61,4
62,6
63,6
64,5
65,4
66,5
67,7
68,7
69,8
70,8
71,8
72,6
73,5
74,6
75,5
76,5
77,5
78,5
79,5
80,4
81,5
82,4
83,5
84,5
85,5
86,4
87,5
88,5
89,3
90,5
91,5
92,4
93,5
94,4
95,6
96,5
97,4
98,6
99,5
100,5
101,4
102,4
103,5
104,5
105,5
106,5
107,4
108,5
109,4
110,5
111,4
112,5
113,7
114,6
115,7
116,7
117,7
118,8
119,8
120,8
121,8
122,6
123,8
124,6
125,6
126,8
127,7
128,6
129,6
130,7
131,7
132,7
133,6
134,6
135,6
136,4
137,4
138,4
139,4
140,6
141,6
142,6
143,7
144,8
145,6
146,6
147,8
148,6
149,6
150,6
151,7
152,7
153,6
154,7
155,6
156,6
157,7
158,7
159,5
160,5
161,6
162,5
163,5
164,5
165,5
166,4
167,5
168,6
169,7
170,6
171,7
172,8
173,7
174,9
175,6
176,7
177,8
178,6
179,5
180,5
181,5
182,4
183,6
184,6
185,6
186,6
187,7
188,7
189,5
190,5
191,5
192,4
193,4
194,4
195,5
196,5
197,5
198,7
199,8
200,8
201,8
202,7
203,7
204,6
205,6
206,5
207,5
208,4
209,4
210,4
211,5
212,5
213,6
214,7
215,6
216,6
217,7
218,7
219,5
220,5
221,6
222,6
223,7
224,8
225,9
226,9
227,11
228,10
229,10
230,9
231,9
232,7
233,8
234,7
235,6
236,6
237,6
238,6
239,6
240,5
241,5
242,6
243,6
244,5
245,5
246,5
247,5
248,4
249,5
250,5
251,6
252,7
253,7
254,8
255,6
256,8
257,6
258,6
259,5
260,5
261,4
262,4
263,5
264,4
265,4
266,5
267,5
268,5
269,4
270,5
271,4
272,5
273,6
274,6
275,4
276,5
277,6
278,5
279,5
280,4
281,5
282,5
283,5
284,5
285,5
286,5
287,4
288,4
289,5
290,5
291,6
292,5
293,5
294,6
295,6
296,4
297,5
298,5
299,5
300,5
301,5
302,4
303,4
304,4
305,5
306,5
307,6
308,6
309,6
310,5
311,5
312,6
313,7
314,6
315,4
316,5
317,4
318,7
319,6
320,5
321,6
322,7
323,5
324,5
325,4
326,5
327,5
328,5
329,5
330,4
331,5
332,5
333,5
334,6
335,7
336,7
337,6
338,6
339,6
340,6
341,6
342,6
343,5
344,5
345,6
346,7
347,7
348,6
349,7
350,8
351,8
352,9
353,10
354,10
355,10
356,9
357,9
358,8
359,8
360,7
361,6
362,7
363,6
364,5
365,5
366,6
367,6
368,6
369,6
370,6
371,7
372,6
373,7
374,6
375,6
376,6
377,6
378,6
379,6
380,5
381,4
